Engine Installation,ACM-212-002,M T W TH F,2023 Summer 1,5/30/2023 - 6/8/2023,04:00 PM - 09:30 PM,Thornley,1000,140,LEC,14,0
Engine Inspection,ACM-226-002,M T W TH F,2023 Summer 1,6/9/2023 - 6/19/2023,04:00 PM - 05:25 PM,Thornley,1000,140,LEC,14,0
Engine Inspection,ACM-226-002,M T W TH F,2023 Summer 1,6/9/2023 - 6/19/2023,05:30 PM - 09:30 PM,Thornley,1000,142A,LAB,14,0
Induction Cooling and Exhaust,ACM-250-002,M T W TH F,2023 Summer 1,6/20/2023 - 7/11/2023,04:00 PM - 05:25 PM,Thornley,1000,140,LEC,14,0
Induction Cooling and Exhaust,ACM-250-002,M T W TH F,2023 Summer 1,6/20/2023 - 7/11/2023,05:30 PM - 09:30 PM,Thornley,1000,142A,LAB,14,0
Health Calculations,AHS-126-004,T,2023 Summer 1,5/30/2023 - 6/28/2023,10:00 AM - 11:35 AM,Thornley,970,108,HYB,50,0
Health Calculations,AHS-126-005,W,2023 Summer 1,5/30/2023 - 6/28/2023,09:00 AM - 10:35 AM,Thornley,970,334,HYB,50,0
Health Calculations II,AHS-129-003,W,2023 Summer 1,5/30/2023 - 6/28/2023,11:00 AM - 12:35 PM,Thornley,970,333,HYB,50,0
Health Calculations II,AHS-129-004,TH,2023 Summer 1,5/30/2023 - 6/28/2023,11:00 AM - 12:35 PM,Thornley,970,106,HYB,50,0
Health Calculations II,AHS-129-005,W,2023 Summer 1,5/30/2023 - 6/28/2023,09:00 AM - 10:35 AM,Thornley,970,333,HYB,50,0
Introduction to Aviation,AMF-103-001,M T W TH F,2023 Summer 1,5/30/2023 - 6/9/2023,08:00 AM - 01:00 PM,Thornley,1000,132,LEC,14,0
Basic Aviation Sciences,AMF-104-001,M T W TH F,2023 Summer 1,6/12/2023 - 6/22/2023,08:00 AM - 01:00 PM,Thornley,1000,132,LEC,14,0
Aircraft Mat & Hand Tools,AMF-109-001,M T W TH F,2023 Summer 1,6/23/2023 - 7/14/2023,08:00 AM - 10:45 AM,Thornley,1000,132,LEC,14,0
Aircraft Mat & Hand Tools,AMF-109-001,M T W TH F,2023 Summer 1,6/23/2023 - 7/14/2023,10:50 AM - 01:00 PM,Thornley,1000,161,LAB,14,0
Art History and Appreciation,ART-101-W03,,2023 Summer 1,5/30/2023 - 6/28/2023,,Off Site,,,INT,30,0
History of Early Western Art,ART-107-W01,,2023 Summer 1,5/30/2023 - 6/28/2023,,Off Site,,,INT,40,0
Solar System Astronomy,AST-101-W02,,2023 Summer 1,5/30/2023 - 6/28/2023,,Off Site,,,INT,16,0
Solar System Astronomy,AST-101-W03,,2023 Summer 1,5/30/2023 - 6/28/2023,,Off Site,,,INT,16,0
Stellar Astronomy,AST-102-W01,,2023 Summer 1,5/30/2023 - 6/28/2023,,Off Site,,,INT,16,0
Stellar Astronomy,AST-102-W02,,2023 Summer 1,5/30/2023 - 6/28/2023,,Off Site,,,INT,16,0
Manual Transmission and Axle,AUT-116-001,M T W TH,2023 Summer 1,5/30/2023 - 6/28/2023,08:00 AM - 09:40 AM,Thornley,800,811,HYB,16,0
Manual Transmission and Axle,AUT-116-001,M T W TH,2023 Summer 1,5/30/2023 - 6/28/2023,,Thornley,800,832,OL,16,0
Automotive Air Conditioning,AUT-241-001,M T W TH,2023 Summer 1,5/30/2023 - 6/28/2023,05:30 PM - 07:10 PM,Thornley,800,811,LEC,16,0
Automotive Air Conditioning,AUT-241-001,M T W TH,2023 Summer 1,5/30/2023 - 6/28/2023,,Thornley,800,832,OL,16,0
