General Anthropology,ANT-101-W02,,2023 Spring 1,1/9/2023 - 2/28/2023,,Off Site,,,INT,30,0
Keyboarding,AOT-105-W01,,2023 Spring 1,1/9/2023 - 2/28/2023,,Off Site,,,INT,35,0
Records Management,AOT-161-W01,,2023 Spring 1,1/9/2023 - 2/28/2023,,Off Site,,,INT,35,0
Art History and Appreciation,ART-101-001,T TH,2023 Spring 1,1/9/2023 - 2/28/2023,01:00 PM - 02:45 PM,Thornley,,,HYB,30,0
Art History and Appreciation,ART-101-B01,M W,2023 Spring 1,1/9/2023 - 2/28/2023,08:00 AM - 09:55 AM,Berkeley,6100,143,HYB,30,0
Art History and Appreciation,ART-101-W01,,2023 Spring 1,1/9/2023 - 2/28/2023,,Off Site,,,INT,30,0
Art History and Appreciation,ART-101-W02,,2023 Spring 1,1/9/2023 - 2/28/2023,,Off Site,,,INT,30,0
Art History and Appreciation,ART-101-W03,,2023 Spring 1,1/9/2023 - 2/28/2023,,Off Site,,,INT,30,0
Film As Art,ART-105-W01,,2023 Spring 1,1/9/2023 - 2/28/2023,,Off Site,,,INT,24,0
History of Photography,ART-106-W01,,2023 Spring 1,1/9/2023 - 2/28/2023,,Off Site,,,INT,20,0
History of Early Western Art,ART-107-W01,,2023 Spring 1,1/9/2023 - 2/28/2023,,Off Site,,,INT,40,0
Basic Drawing I,ART-111-002,M W,2023 Spring 1,1/9/2023 - 2/28/2023,06:00 PM - 08:55 PM,Thornley,950,219,HYB,20,0
Basic Drawing I,ART-111-W02,,2023 Spring 1,1/9/2023 - 2/28/2023,,Off Site,,,INT,20,0
History of Graphic Design,ART-210-001,M W,2023 Spring 1,1/9/2023 - 2/28/2023,12:15 PM - 03:15 PM,Thornley,950,219,LEC,20,0
History of Graphic Design,ART-210-W01,,2023 Spring 1,1/9/2023 - 2/28/2023,,Off Site,,,INT,20,0
Computer Graphics I,ARV-110-001,M W,2023 Spring 1,1/9/2023 - 2/28/2023,09:00 AM - 11:55 AM,Thornley,920,740A,HYB,20,0
Computer Graphics I,ARV-110-W01,,2023 Spring 1,1/9/2023 - 2/28/2023,,Off Site,,,INT,20,0
Photography I,ARV-114-001,M W,2023 Spring 1,1/9/2023 - 2/28/2023,09:00 AM - 11:55 AM,Thornley,500,114,HYB,12,0
Photography I,ARV-114-003,M W,2023 Spring 1,1/9/2023 - 2/28/2023,03:15 PM - 05:50 PM,Thornley,500,114,HYB,12,0
Food Photography I,ARV-116-001,T TH,2023 Spring 1,1/9/2023 - 2/28/2023,11:45 AM - 02:40 PM,Thornley,920,406,HYB,20,0
Design,ARV-121-001,M W,2023 Spring 1,1/9/2023 - 2/28/2023,12:15 PM - 03:10 PM,Thornley,950,225,HYB,20,0
Design,ARV-121-005,T TH,2023 Spring 1,1/9/2023 - 2/28/2023,06:00 PM - 08:55 PM,Thornley,950,225,HYB,20,0
Design,ARV-121-W02,,2023 Spring 1,1/9/2023 - 2/28/2023,,Off Site,,,INT,20,0
Composition and Color,ARV-123-001,M W,2023 Spring 1,1/9/2023 - 2/28/2023,09:00 AM - 11:55 AM,Thornley,950,225,HYB,20,0
Composition and Color,ARV-123-004,T TH,2023 Spring 1,1/9/2023 - 2/28/2023,12:00 PM - 02:55 PM,Thornley,950,225,HYB,20,0
Composition and Color,ARV-123-W02,,2023 Spring 1,1/9/2023 - 2/28/2023,,Off Site,,,INT,20,0
Digital Print Production,ARV-164-002,T TH,2023 Spring 1,1/9/2023 - 2/28/2023,08:45 AM - 11:40 AM,Thornley,920,406,HYB,15,0
Computer Graphics II,ARV-210-W01,,2023 Spring 1,1/9/2023 - 2/28/2023,,Off Site,,,INT,20,0
Digital Media Design,ARV-211-001,M W,2023 Spring 1,1/9/2023 - 2/28/2023,09:00 AM - 11:55 AM,Thornley,950,226,HYB,20,0
Digital Photography,ARV-212-001,M W,2023 Spring 1,1/9/2023 - 2/28/2023,12:15 PM - 03:10 PM,Thornley,920,406,HYB,20,0
Computer Imagery,ARV-217-001,T TH,2023 Spring 1,1/9/2023 - 2/28/2023,02:55 PM - 05:50 PM,Thornley,920,406,HYB,20,0
Computer Imagery,ARV-217-003,M W,2023 Spring 1,1/9/2023 - 2/28/2023,09:00 AM - 11:55 AM,Thornley,920,406,HYB,20,0
Computer Imagery,ARV-217-W01,,2023 Spring 1,1/9/2023 - 2/28/2023,,Off Site,,,INT,20,0
Computer Imagery II,ARV-218-001,T TH,2023 Spring 1,1/9/2023 - 2/28/2023,03:00 PM - 05:55 PM,Thornley,950,226,HYB,20,0
Multimedia Techniques,ARV-219-001,T TH,2023 Spring 1,1/9/2023 - 2/28/2023,12:00 PM - 02:55 PM,Thornley,950,226,HYB,20,0
Multimedia Techniques,ARV-219-W01,,2023 Spring 1,1/9/2023 - 2/28/2023,,Off Site,,,INT,20,0
Web Site Design II,ARV-228-W01,,2023 Spring 1,1/9/2023 - 2/28/2023,,Off Site,,,INT,20,0
Visual Arts Business Proced,ARV-230-W01,,2023 Spring 1,1/9/2023 - 2/28/2023,,Off Site,,,INT,20,0
Digital Photography II,ARV-232-002,M W,2023 Spring 1,1/9/2023 - 2/28/2023,12:15 PM - 03:10 PM,Thornley,950,226,HYB,20,0
Design Thinking,ARV-242-001,M W,2023 Spring 1,1/9/2023 - 2/28/2023,12:15 PM - 03:10 PM,Off Site,,,SOM,20,0
Solar System Astronomy,AST-101-001,T TH,2023 Spring 1,1/9/2023 - 2/28/2023,11:30 AM - 02:20 PM,Thornley,700,302,LAB,16,0
Solar System Astronomy,AST-101-001,,2023 Spring 1,1/9/2023 - 2/28/2023,,Thornley,,,INT,16,0
Solar System Astronomy,AST-101-B01,T TH,2023 Spring 1,1/9/2023 - 2/28/2023,02:50 PM - 05:50 PM,Berkeley,6100,183,LAB,16,0
Solar System Astronomy,AST-101-B01,,2023 Spring 1,1/9/2023 - 2/28/2023,,Berkeley,,,HYB,16,0
Solar System Astronomy,AST-101-P02,F,2023 Spring 1,1/9/2023 - 2/28/2023,11:30 AM - 02:30 PM,Palmer,8100,137,LAB,16,0
Solar System Astronomy,AST-101-P02,M W,2023 Spring 1,1/9/2023 - 2/28/2023,11:30 AM - 02:30 PM,Palmer,8100,137,LEC,16,0
Solar System Astronomy,AST-101-W01,,2023 Spring 1,1/9/2023 - 2/28/2023,,Off Site,,,INT,35,0
Stellar Astronomy,AST-102-W01,,2023 Spring 1,1/9/2023 - 2/28/2023,,Off Site,,,INT,16,0
